success,model,sample,local_steps,local_psnr,local_conf_c1,local_conf_c2,remote_steps,remote_psnr,s1_label,s2_label,s1_conf_c1,s1_conf_c2,s2_conf_c1,s2_conf_c2
True,fmnist,32,285,46.84343482200692,0.4850956201553345,0.48508647084236145,200,46.84341038000834,9,7,0.4850926399230957,0.48508939146995544,0.48509112000465393,0.4850909411907196
True,fmnist,33,250,43.22236519646853,0.499661386013031,0.4996514916419983,114,43.22235524237418,5,7,0.49965834617614746,0.49965453147888184,0.4996564984321594,0.4996562600135803
True,fmnist,34,227,48.944327316501585,0.49160608649253845,0.49159637093544006,44,48.94431213857186,4,2,0.4916044771671295,0.4915979206562042,0.4916013777256012,0.4916011393070221
True,fmnist,35,155,57.65168911431705,0.4996153712272644,0.49960559606552124,73,57.65160573521031,2,4,0.49961042404174805,0.49961042404174805,0.49961090087890625,0.49960994720458984
True,fmnist,36,131,51.38221060338418,0.499755322933197,0.49974578619003296,40,51.38218806864608,3,6,0.49975186586380005,0.49974924325942993,0.499750554561615,0.4997504949569702
True,fmnist,37,239,43.494392434323586,0.49974995851516724,0.4997408986091614,67,43.49438430955221,3,2,0.4997468590736389,0.4997439980506897,0.4997454285621643,0.4997454285621643
False,fmnist,38,0,None,1.0,1.4427206096456757e-09,None,None,None,None,None,None,None,None
True,fmnist,39,157,47.02973450454313,0.5000047087669373,0.4999949336051941,33,47.029718160068306,7,9,0.5000001788139343,0.499999463558197,0.5000000596046448,0.4999995827674866
True,fmnist,40,152,46.877116413691866,0.49904826283454895,0.49903973937034607,14,46.87711102536555,9,5,0.4990443289279938,0.49904346466064453,0.49904486536979675,0.49904298782348633
True,fmnist,41,177,45.82620441282289,0.4993513822555542,0.4993414282798767,47,45.82619655670708,6,3,0.4993465840816498,0.49934622645378113,0.4993486702442169,0.499344140291214
True,fmnist,42,188,50.880248693444905,0.4999879002571106,0.49997860193252563,74,50.88021773438388,6,0,0.49998337030410767,0.49998313188552856,0.49998635053634644,0.4999801516532898
True,fmnist,43,111,60.43167669169566,0.4988289475440979,0.498820036649704,82,60.431615887437516,0,2,0.4988246262073517,0.4988243877887726,0.4988250434398651,0.49882397055625916
